Job Title,Company,Location,Experience,Job ID,Listing URL,Job URL,Salary,Skills,Description,Company Details,Additional Requirements
PYTHON DEVELOPER (Core Python Development),LSI Micro Marketing Services,Mumbai,4-7 Yrs,161224501429,https://www.naukri.com/job-listings-python-developer-core-python-development-lsi-the-micro-marketing-service-india-mumbai-4-to-7-years-161224501429,https://www.naukri.com/job-listings-python-developer-core-python-development-lsi-micro-marketing-services-mumbai-4-7-yrs-161224501429,,"customer segmentation, Multithreading, Front end, Web technologies, Access management, Cloud, Market segmentation, Selenium, Python, Data extraction","Job description
  Use of libraries Pandas, Numpy
Multiprocessing / Multithreading
Regex
Optimize code using appropriate functions
Knowledge of web framework
The ability to plan work and meet deadlines
Accuracy and attention to detail
Web Scraping (Using Requests and Selenium) and Web Data extraction
Working efficiently in coordination with the team
Role: Software Development - Other
Industry Type: Internet
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
customer segmentationMultithreadingFront endWeb technologiesAccess managementCloudMarket segmentationSeleniumPythonData extraction",,"Role: Software Development - Other
Industry Type: Internet
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
Python Software Developer,Sarva Sudarsanaa Academy,Chennai,19 Jan - 22 Jan,140126030593,https://www.naukri.com/job-listings-python-software-developer-sarva-sudarsanaa-academy-chennai-0-to-0-years-140126030593,https://www.naukri.com/job-listings-python-software-developer-sarva-sudarsanaa-academy-chennai-19-jan-22-jan-140126030593,,"Javascript, Django Framework, Python Development, Python, Html/Css, React.Js, SQL","Job description
We are looking for a motivated and passionate Python Developer to join our development team & good logical skills and willingness to learn are encouraged to apply. they should have strong fundamentals in Python programming
Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
JavascriptDjango FrameworkPython DevelopmentPythonHtml/Css
React.JsSQL",,"Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
Python Software Developer - Pan India,Infosys,"Hyderabad, Pune, Bengaluru",9-10 Yrs,310725029868,https://www.naukri.com/job-listings-python-software-developer-pan-india-infosys-hyderabad-pune-bengaluru-9-to-10-years-310725029868,https://www.naukri.com/job-listings-python-software-developer-pan-india-infosys-hyderabad-pune-bengaluru-9-10-yrs-310725029868,,,,,
Python Software Developer,MNC Group,"Hybrid - Pune, Bengaluru",6-11 Yrs,160126926310,https://www.naukri.com/job-listings-python-software-developer-burgeon-it-services-pune-bengaluru-6-to-11-years-160126926310,https://www.naukri.com/job-listings-python-software-developer-mnc-group-hybrid-pune-bengaluru-6-11-yrs-160126926310,,,,,
Python Software Developer,Randstad Digital,Hybrid - Chennai,5-10 Yrs,130126035870,https://www.naukri.com/job-listings-python-software-developer-randstad-chennai-5-to-10-years-130126035870,https://www.naukri.com/job-listings-python-software-developer-randstad-digital-hybrid-chennai-5-10-yrs-130126035870,,,,,
Python Software Developer,Techno Comp (TCI),Bengaluru,7-9 Yrs,271125014337,https://www.naukri.com/job-listings-python-software-developer-techno-comp-tci-bengaluru-7-to-9-years-271125014337,https://www.naukri.com/job-listings-python-software-developer-techno-comp-tci-bengaluru-7-9-yrs-271125014337,14-19 Lacs P.A.,"Django, MySQL, Fast Api, Python Development, Microservices, Power Bi, Snowflake, Tableau, Kubernetes Deployment, AWS, Python, SQL","Job description
Role : Python developer
Location : Bengaluru ( willing to relocate to Bengaluru )
Experience : 7 to 8 Years
Notice period : Immediate or 15 day

Job Responsibility :

The incumbent will be responsible for, but not limited to, the following key deliverables:
Design, develop, and maintain APIs using different source DBs and integrate with Middleware and UI.
Should have sound knowledge on python, AWS & Snowflake.
Qualification
Full time IT Engineering or equivalent degree (preferably in Computers )
Experience
6+ years as AWS, Snowflake Developer
Knowledge and Competencies
As a Backend Developer, you will play a crucial role in designing, developing, and optimizing robust backend solutions. You will leverage your expertise in AWS and Snowflake to build scalable data pipelines, streamline data management processes, and ensure high performance and security.
Key Responsibilities:
Backend Development:
Design, develop, and maintain scalable and secure web applications using Python frameworks such as Django or FastAPI.
Implement RESTful APIs and ensure integration with frontend applications.
Data Management:
Design and manage databases with a strong focus on SQL performance optimization, integrity, and scalability.
Implement data models, migrations, and efficient query strategies for backend operations.
Collaboration:
Collaborate with cross-functional teams, including product managers, data scientists, and QA engineers, to align on project goals and deliverables.
Mentor junior engineers and provide technical guidance on best coding practices.
Performance Optimization:
Monitor application performance, identify bottlenecks, and implement solutions to enhance responsiveness and reliability.
Troubleshoot and resolve issues related to backend services and data processing.
Security and Compliance:
Ensure applications adhere to security best practices and compliance with relevant regulations.
Implement appropriate access controls and encryption measures for sensitive data.
Qualifications:
Proven experience in backend development using Python Django FASTAPI AWS services (e.g., Lambda, S3, DynamoDB) and data solutions with Snowflake.
Proficiency in programming languages such as Python, Java, or Node.js.
Strong understanding of database management, data architecture, and ETL design patterns.
Experience with data integration and data warehousing concepts.
Familiarity with version control tools (e.g., Git) and experience in agile development environments.
Excellent problem-solving skills and ability to work independently or collaboratively within a team.
Good to have Skills:
Experience with Kubernetes or Docker for containerized applications.
Familiarity with Snowflakes advanced features, such as data sharing and time travel.
Knowledge of BI tools like Tableau, Power BI, or Looker.
Good to have AWS certification (e.g., AWS Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Big Data Specialty).
Experience with other data warehousing and analytics platforms (e.g., Big Query, Redshift).
Knowledge of data visualization tools (e.g., Tableau, Power BI).


Primary Skill Set : Python, FastAPI, Django - Developer,


Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
DjangoMySQLFast ApiPython DevelopmentMicroservices
Power BiSnowflakeTableauKubernetes DeploymentAWSPythonSQL",,"Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
Python Software Developer (only For python fastApi developers),I2global Virtual Learning,Bengaluru(Koramangala),2-7 Yrs,170126010565,https://www.naukri.com/job-listings-python-software-developer-only-for-python-fastapi-developers-i2global-virtual-learning-bengaluru-2-to-7-years-170126010565,https://www.naukri.com/job-listings-python-software-developer-only-for-python-fastapi-developers-i2global-virtual-learning-bengaluru-koramangala-2-7-yrs-170126010565,14-19 Lacs P.A.,"Django, MySQL, Fast Api, Python Development, Microservices, Power Bi, Snowflake, Tableau, Kubernetes Deployment, AWS, Python, SQL","Job description
Role : Python developer
Location : Bengaluru ( willing to relocate to Bengaluru )
Experience : 7 to 8 Years
Notice period : Immediate or 15 day

Job Responsibility :

The incumbent will be responsible for, but not limited to, the following key deliverables:
Design, develop, and maintain APIs using different source DBs and integrate with Middleware and UI.
Should have sound knowledge on python, AWS & Snowflake.
Qualification
Full time IT Engineering or equivalent degree (preferably in Computers )
Experience
6+ years as AWS, Snowflake Developer
Knowledge and Competencies
As a Backend Developer, you will play a crucial role in designing, developing, and optimizing robust backend solutions. You will leverage your expertise in AWS and Snowflake to build scalable data pipelines, streamline data management processes, and ensure high performance and security.
Key Responsibilities:
Backend Development:
Design, develop, and maintain scalable and secure web applications using Python frameworks such as Django or FastAPI.
Implement RESTful APIs and ensure integration with frontend applications.
Data Management:
Design and manage databases with a strong focus on SQL performance optimization, integrity, and scalability.
Implement data models, migrations, and efficient query strategies for backend operations.
Collaboration:
Collaborate with cross-functional teams, including product managers, data scientists, and QA engineers, to align on project goals and deliverables.
Mentor junior engineers and provide technical guidance on best coding practices.
Performance Optimization:
Monitor application performance, identify bottlenecks, and implement solutions to enhance responsiveness and reliability.
Troubleshoot and resolve issues related to backend services and data processing.
Security and Compliance:
Ensure applications adhere to security best practices and compliance with relevant regulations.
Implement appropriate access controls and encryption measures for sensitive data.
Qualifications:
Proven experience in backend development using Python Django FASTAPI AWS services (e.g., Lambda, S3, DynamoDB) and data solutions with Snowflake.
Proficiency in programming languages such as Python, Java, or Node.js.
Strong understanding of database management, data architecture, and ETL design patterns.
Experience with data integration and data warehousing concepts.
Familiarity with version control tools (e.g., Git) and experience in agile development environments.
Excellent problem-solving skills and ability to work independently or collaboratively within a team.
Good to have Skills:
Experience with Kubernetes or Docker for containerized applications.
Familiarity with Snowflakes advanced features, such as data sharing and time travel.
Knowledge of BI tools like Tableau, Power BI, or Looker.
Good to have AWS certification (e.g., AWS Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Big Data Specialty).
Experience with other data warehousing and analytics platforms (e.g., Big Query, Redshift).
Knowledge of data visualization tools (e.g., Tableau, Power BI).


Primary Skill Set : Python, FastAPI, Django - Developer,


Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
DjangoMySQLFast ApiPython DevelopmentMicroservices
Power BiSnowflakeTableauKubernetes DeploymentAWSPythonSQL",,"Role: Full Stack Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
Python Software Developer,Octillion Media India,Hybrid - Bengaluru,5-8 Yrs,160126011407,https://www.naukri.com/job-listings-python-software-developer-octillion-media-india-bengaluru-5-to-8-years-160126011407,https://www.naukri.com/job-listings-python-software-developer-octillion-media-india-hybrid-bengaluru-5-8-yrs-160126011407,12-16 Lacs P.A.,"Python Development, Python, Django Framework, AWS, SQL","Job description
About TEGNA

TEGNA Inc. (NYSE: TGNA) helps people thrive in their local communities by providing the trusted local news and services that matter most. With 64 television stations in 51 U.S. markets, TEGNA reaches more than 100 million people monthly across the web, mobile apps, streaming, and linear television. Together, we are building a sustainable future for local news.

Python Developer

TEGNA is seeking an experienced and results-driven Python Developer to design, build, and optimize scalable backend systems and data-driven applications. This role will play a key part in developing high-performance, maintainable code that powers critical business platforms and digital products. The ideal candidate is passionate about clean architecture, automation, and delivering efficient solutions to complex problems. You will collaborate closely with cross-functional teams including product managers, architects, and DevOps engineers to translate requirements into robust, high-quality code.

What You will do

Design, build, and maintain robust backend applications and APIs using Python (Django, Flask, or FastAPI).
Develop scalable data-driven solutions that support digital content distribution, personalization, and analytics.
Collaborate closely with product managers, architects, and DevOps engineers to translate business needs into technical solutions.
Ensure application performance, reliability, and security across digital and broadcast systems.
Integrate with third-party APIs, content management systems, and media delivery platforms.
Participate in design and code reviews, ensuring adherence to best practices and architecture guidelines.
Continuously optimize code, automate workflows, and improve system efficiency.

What You Bring

5 to 7 years of hands-on experience in Python development within agile, enterprise scale environments.
Strong proficiency with Python frameworks (Django, Flask, or FastAPI).
Proven experience designing RESTful APIs and integrating with external systems.
Solid understanding of relational and NoSQL databases (PostgreSQL, MySQL, MongoDB).
Experience working with cloud technologies (AWS, Azure, or GCP).
Knowledge of DevOps practices, CI/CD pipelines, and containerization (Docker, Kubernetes).
Strong debugging, analytical, and problem-solving skills.

Preferred Qualifications

Experience developing or integrating digital media platforms, content delivery systems, or data analytics pipelines.
Familiarity with streaming, video-on-demand, or audience analytics technologies.
Exposure to microservices, asynchronous processing, or data engineering workflows.
Bachelors or masters degree in computer science, Engineering, or related discipline.

Why TEGNA

At TEGNA, our values guide everything we do. We Demand the Truth by delivering accurate, trusted information. We Work Smarter by finding better ways to solve problems and move quickly. We Do the Right Thing by holding ourselves to the highest standards. And We Win by working together to deliver results. If youre ready to grow your career in corporate communications and be part of a team that lives these values every day, wed love to hear from you.
Role: Back End Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Python DevelopmentPython
Django FrameworkAWSSQL",,"Role: Back End Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
PYTHON DEVELOPMENT,Godigi Infotech,Mumbai,No fixed duration,150126502799,https://www.naukri.com/job-listings-python-development-godigi-infotech-mumbai-0-to-5-years-150126502799,https://www.naukri.com/job-listings-python-development-godigi-infotech-mumbai-no-fixed-duration-150126502799,,"Data analysis, Django, Web development, Machine learning, Javascript, HTML, Web designing, ERP implementation, Internship, Python","Description
Job description
As a Python development intern at Imperio Railing Systems, you will have the opportunity to work on cutting-edge projects that will enhance your skills and knowledge in Python development, HTML, machine learning, CSS, and ERP implementation and deployment. You will work closely with our team of experts to develop and implement enterprise resource planning solutions using Odoo, as well as contribute to web development and design projects.
Collaborate with our development team to create and implement Python-based solutions for improving our ERP systems.
Use your knowledge of HTML, CSS, and web development to enhance the user experience of our online platforms.
Assist in the design and deployment of ERP solutions using Odoo to streamline our internal processes.
Conduct research and analysis to improve the functionality and performance of our web applications.
Work on machine learning projects to enhance our data analysis capabilities and optimize decision-making processes.
Participate in code reviews and testing to ensure the quality and efficiency of our software solutions.
Stay up-to-date on the latest trends and technologies in Python development and web design to continuously improve our digital presence.
Role: Full Stack Developer
Industry Type: Management Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Data analysisDjangoWeb developmentMachine learningJavascriptHTMLWeb designingERP implementationInternshipPython",,"Role: Full Stack Developer
Industry Type: Management Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development"
Java Backend Developer (Golang Or Python Development),Hexaware Technologies,"Hyderabad, Bengaluru",5-10 Yrs,261225007978,https://www.naukri.com/job-listings-java-backend-developer-golang-or-python-development-hexaware-technologies-hyderabad-bengaluru-5-to-10-years-261225007978,https://www.naukri.com/job-listings-java-backend-developer-golang-or-python-development-hexaware-technologies-hyderabad-bengaluru-5-10-yrs-261225007978,,"Golang, Java, Python, GCP","Job description
Java Backend Developer
Bangalore & Hyderabad -WFO

Role & responsibilities
5-10+Years Experience on Java Development .
Strong Experience on Backend Technology along with Golang or Python

Preferred candidate profile

read more
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
GolangJavaPython
GCP",,
